"Planta";"Fuente";"Enero";"Febrero";"Marzo";"Abril";"Mayo";"Junio";"Julio";"Agosto";"Septiembre";"Octubre";"Noviembre";"Diciembre"
"11";"Cachí";"Hidro";-0.90275440893822;-1.5652404368069;-1.0385861329166;-1.2315038147903;0.203218814954486;0.434631639793217;0.377863830617703;1.14275616239194;1.27507581681049;1.26908530391528;0.352311779335654;-0.316858554366751
"12";"Campos Azules";"Eólico";0.603784028994871;0.536879345039871;1.10935374202703;0.842266128409479;-1.15617496503408;-0.253940149001078;0.570821641963748;-0.301638973145717;-1.23271494510778;-1.99750290498901;0.277685384522824;1.00118166631984
"13";"Canalete";"Hidro";-0.390905817425149;-0.842293990428336;-0.904070405006963;-1.95739395638451;-0.605402132355974;0.380196758192954;0.923524569931611;0.647525168946627;0.095486169572765;0.26546660185065;0.57135553901649;1.81651149408983
"14";"Caño Grande";"Hidro";-1.27198597225583;-1.75346230260633;-0.172006061636141;-1.4187322598161;0.473257885495392;0.832770254963274;1.03222471077574;0.473008502434192;0.799323937432498;0.712611330518091;-0.512547834031567;0.805537808726786
"15";"Caño Grande III";"Hidro";-1.27580146569169;-1.77301049009008;-0.190152586036201;-1.43564754752058;0.46111164519475;0.781175255983032;1.06305239395213;0.431077084879599;0.776592651537676;0.589321389906235;-0.376658894285848;0.948940562170981
"16";"Cariblanco";"Hidro";-0.682046129556524;-1.08980962127796;-1.1309433014756;-1.34767458125143;-0.335128430514189;-0.108817859568682;0.264434271771487;0.415070166160294;0.403437130186762;1.39298703215559;0.296386155282579;1.92210516808768
"17";"Chiripa";"Eólico";1.10200061268585;0.568074715350158;0.881597104151458;0.0689048793792734;-1.35782433145307;-0.166452151213484;0.595961007084627;-0.239643092427945;-1.18086716506176;-1.88394241479204;0.52890691420874;1.08328392208819
"18";"Chocosuelas";"Hidro";0.00674685272602814;-0.64839714437337;-2.16692571025847;-0.823185844981682;-0.385234485776402;-0.354531442877642;0.110891653400964;0.10826865838805;0.552475590286933;1.22598705735035;0.81129907109327;1.56260574502197
"19";"Chucás";"Hidro";-0.744607879635761;-1.13631782692559;-1.10991628602838;-1.0973256196851;-0.204211216884103;0.406578402980341;-0.0946239462902587;-0.101661109705518;0.867495865113268;2.16271937862052;1.03035887310675;0.0215113653338343
"20";"CNFL";"Hidro";-0.861848470445743;-1.33914477017985;-1.26574196042122;-1.27146600000917;-0.0129554413150546;0.353893177620082;0.297342925138227;0.213032091548985;0.612677923142511;1.91737813941418;0.76138021798387;0.595452167523181
"21";"Cubujuquí";"Hidro";-1.28661522768941;-1.64533985455301;-0.369977555158371;-0.952073708201077;0.781731985550491;0.759767309747682;1.27985955566158;0.512339423668974;-0.218513034914973;-0.724638568678837;0.61853910365808;1.24492057090886
"22";"Daniel Gutiérrez";"Hidro";-0.804616686826376;-1.10125768710438;-1.10680505485191;-1.28512805263269;-0.632028449439137;-0.19707356048329;0.321180281547591;0.357852554864475;0.85192417458641;1.60645384593348;0.602182372062164;1.38731626234367
"23";"Dengo";"Hidro";1.10053010461007;0.892072882472251;1.09170487292538;1.15679285531643;1.0533706417691;0.169873256052582;-0.549626997659052;-0.809037150819503;-0.863209777282957;-0.932948657101925;-1.36152455270842;-0.947997477573961
"24";"Don Pedro";"Hidro";0.463154210186686;0.125261573427524;0.790280897453896;0.181196980449755;2.65769769020266;-0.33085222008655;-0.839697169125937;-0.839697169125937;-0.839697169125937;-0.741549275301425;-0.115018415928246;-0.511079933026491
"25";"Doña Julia";"Hidro";-1.2033162934155;-1.66565555584298;-0.156449121928682;-0.835232571574043;0.660458830634079;0.841008535439912;1.27049277802893;0.651476419394621;0.0281401390581546;-1.11035246835348;0.267043435328864;1.25238587323013
"26";"Echandi";"Hidro";0.898132888190094;0.186358995570806;0.0738711262988884;-0.0715942332824451;0.638014934654786;1.20646253024664;1.14693053196359;0.891684243726145;-1.24246525434213;-1.24246525434213;-1.24246525434213;-1.24246525434213
